epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
67,10327.4,1.35522,0.60133,1.02614,0.00982,0.8939,0.82093,0.88978,0.56458,1.311,0.55814,1.01956,0,0.003466,0.003466,0.003466,0.001733
68,10479.9,1.35991,0.60131,1.02613,0.00982,0.89639,0.81872,0.89027,0.56498,1.31069,0.55772,1.01945,0,0.003367,0.003367,0.003367,0.0016835
69,10637.5,1.35819,0.60126,1.02665,0.00982,0.89651,0.81952,0.88945,0.56424,1.31053,0.55705,1.01939,0,0.003268,0.003268,0.003268,0.001634
70,10753.9,1.35559,0.60073,1.02634,0.00982,0.89651,0.8199,0.88874,0.5639,1.31011,0.55679,1.01902,0,0.003169,0.003169,0.003169,0.0015845
71,10904.2,1.35577,0.59973,1.02629,0.00982,0.89627,0.82085,0.88918,0.56459,1.30934,0.55663,1.01829,0,0.00307,0.00307,0.00307,0.001535
72,11048.4,1.35286,0.59772,1.02331,0.00959,0.8955,0.82172,0.88924,0.56414,1.30937,0.55625,1.01829,0,0.002971,0.002971,0.002971,0.0014855
73,11160.8,1.35372,0.59798,1.02603,0.00915,0.89751,0.82109,0.88982,0.56446,1.30912,0.55532,1.01837,0,0.002872,0.002872,0.002872,0.001436
74,11279.4,1.3504,0.59476,1.02366,0.0085,0.89752,0.82094,0.89031,0.56518,1.30867,0.55464,1.0181,0,0.002773,0.002773,0.002773,0.0013865
75,11397.5,1.35441,0.59581,1.02542,0.00771,0.89568,0.82268,0.89033,0.56497,1.30947,0.55446,1.01849,0,0.002674,0.002674,0.002674,0.001337
76,11538.5,1.35418,0.59584,1.02539,0.00681,0.89645,0.82204,0.89091,0.56562,1.30812,0.55408,1.01793,0,0.002575,0.002575,0.002575,0.0012875
77,11666.8,1.34826,0.59367,1.02388,0.00586,0.89767,0.82144,0.89081,0.56561,1.3082,0.55367,1.01776,0,0.002476,0.002476,0.002476,0.001238
78,11813.6,1.35005,0.59272,1.0239,0.0049,0.89751,0.82215,0.89103,0.56588,1.30744,0.5533,1.01747,0,0.002377,0.002377,0.002377,0.0011885
79,11953.9,1.34562,0.59211,1.02142,0.00399,0.89884,0.82169,0.89102,0.56603,1.30683,0.5527,1.01742,0,0.002278,0.002278,0.002278,0.001139
80,12101.2,1.34317,0.58941,1.02187,0.00315,0.89906,0.8221,0.89113,0.5662,1.30633,0.55226,1.01704,0,0.002179,0.002179,0.002179,0.0010895
81,12228.5,1.35006,0.59311,1.02121,0.00241,0.89943,0.82206,0.89144,0.56644,1.30583,0.55199,1.01668,0,0.00208,0.00208,0.00208,0.00104
82,12339.3,1.34651,0.59046,1.02296,0.00179,0.89936,0.82257,0.89174,0.56689,1.30571,0.55155,1.01642,0,0.001981,0.001981,0.001981,0.0009905
83,12469.5,1.34191,0.58859,1.02201,0.00129,0.89965,0.82342,0.89212,0.56776,1.30553,0.55106,1.01632,0,0.001882,0.001882,0.001882,0.000941
84,12606.1,1.34459,0.58936,1.02178,0.0009,0.89938,0.82312,0.89214,0.56806,1.30479,0.55076,1.01613,0,0.001783,0.001783,0.001783,0.0008915
85,12737.6,1.34189,0.58756,1.02125,0.00061,0.89873,0.82428,0.89219,0.56811,1.30468,0.5506,1.01603,0,0.001684,0.001684,0.001684,0.000842
86,12834.2,1.33903,0.58571,1.02142,0.00039,0.89882,0.8239,0.89205,0.568,1.30428,0.55004,1.0159,0,0.001585,0.001585,0.001585,0.0007925
87,12957.4,1.33853,0.58497,1.01731,0.00025,0.8987,0.82399,0.89287,0.56855,1.30382,0.54969,1.01565,0,0.001486,0.001486,0.001486,0.000743
88,13072.6,1.33989,0.58611,1.01914,0.00015,0.89899,0.82394,0.89324,0.56888,1.30373,0.54931,1.01553,0,0.001387,0.001387,0.001387,0.0006935
89,13211.4,1.338,0.58428,1.01942,9e-05,0.89956,0.82386,0.8933,0.56879,1.30373,0.54925,1.01542,0,0.001288,0.001288,0.001288,0.000644
90,13333.7,1.3358,0.58296,1.01634,5e-05,0.89925,0.82396,0.89344,0.56945,1.30357,0.54923,1.01538,0,0.001189,0.001189,0.001189,0.0005945
91,13421.8,1.32769,0.57621,1.04533,3e-05,0.89881,0.82394,0.89324,0.56937,1.30388,0.54939,1.01593,0,0.00109,0.00109,0.00109,0.000545
92,13498,1.32075,0.57114,1.03966,1e-05,0.89885,0.82353,0.89321,0.56952,1.3039,0.54933,1.016,0,0.000991,0.000991,0.000991,0.0004955
93,13634.7,1.31825,0.56842,1.04132,1e-05,0.89901,0.82419,0.89317,0.56923,1.3037,0.54907,1.01596,0,0.000892,0.000892,0.000892,0.000446
94,13789.6,1.31555,0.56656,1.03988,0,0.89946,0.82357,0.89332,0.56945,1.30379,0.54891,1.01595,0,0.000793,0.000793,0.000793,0.0003965
95,13900.6,1.31336,0.56534,1.03803,0,0.90065,0.82295,0.89385,0.56971,1.30371,0.54871,1.01587,0,0.000694,0.000694,0.000694,0.000347
96,13967.7,1.31235,0.56398,1.03865,0,0.90022,0.82338,0.89334,0.56936,1.30382,0.5484,1.01588,0,0.000595,0.000595,0.000595,0.0002975
97,14036.9,1.31167,0.56336,1.03843,0,0.90046,0.82333,0.89326,0.56975,1.30393,0.54808,1.01596,0,0.000496,0.000496,0.000496,0.000248
98,14149,1.30983,0.56213,1.03637,0,0.90093,0.82384,0.89347,0.56978,1.3042,0.54802,1.01611,0,0.000397,0.000397,0.000397,0.0001985
99,14262.3,1.3096,0.56044,1.0366,0,0.90196,0.82296,0.89352,0.5697,1.30434,0.5479,1.01618,0,0.000298,0.000298,0.000298,0.000149
100,14329.7,1.30742,0.55998,1.03685,0,0.90152,0.82328,0.89353,0.56935,1.30464,0.54774,1.01631,0,0.000199,0.000199,0.000199,9.95e-05
