epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
30,5621.17,1.60925,2.34765,0.02195,0.99785,13.8043,0.46273,0.38592,0.37306,0.22398,1.56551,2.01573,0.02673,0,0,13.8043,0,13.8043,0,0.0719737,0.179084,3.00161,3.00161,0,1,14.7603,14.5182,12.1344,0.00928225,0.00928225,0.00928225,0.00464113,0.0185645
31,5806.07,1.61954,2.31935,0.02191,0.99791,13.822,0.47158,0.38238,0.37995,0.23025,1.55571,2.01507,0.02644,0,0,13.822,0,13.822,0,0.0720568,0.179906,3.00161,3.00161,0,1,14.8185,14.5397,12.1079,0.0092575,0.0092575,0.0092575,0.00462875,0.018515
32,5990.99,1.60605,2.30284,0.02182,0.99823,13.6739,0.46458,0.39636,0.39408,0.23811,1.55602,1.98158,0.0264,0,0,13.6739,0,13.6739,0,0.0712865,0.179473,3.00161,3.00161,0,1,14.5911,14.4019,12.0287,0.00923275,0.00923275,0.00923275,0.00461637,0.0184655
33,6177.02,1.59049,2.29298,0.0216,0.99851,13.66,0.48038,0.39879,0.39652,0.24107,1.54327,1.97496,0.02609,0,0,13.66,0,13.66,0,0.0712164,0.180678,3.00161,3.00161,0,1,14.5607,14.3814,12.0379,0.009208,0.009208,0.009208,0.004604,0.018416
34,6364.01,1.60105,2.27969,0.02167,0.99811,13.6612,0.48926,0.39535,0.40127,0.24285,1.5461,1.95178,0.02624,0,0,13.6612,0,13.6612,0,0.0712244,0.18064,3.00161,3.00161,0,1,14.5754,14.3863,12.0219,0.00918325,0.00918325,0.00918325,0.00459163,0.0183665
35,6548.84,1.59173,2.26635,0.02148,0.99805,13.5656,0.49921,0.40391,0.41049,0.25106,1.53324,1.92124,0.02585,0,0,13.5656,0,13.5656,0,0.0707201,0.180562,3.00161,3.00161,0,1,14.466,14.2938,11.937,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,6734.66,1.57743,2.25538,0.02137,0.99858,13.5664,0.49308,0.40973,0.4134,0.25259,1.51804,1.91852,0.02558,0,0,13.5664,0,13.5664,0,0.0707226,0.181711,3.00161,3.00161,0,1,14.4387,14.2855,11.9751,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,6919.6,1.58323,2.2342,0.02136,0.99841,13.5189,0.49965,0.41673,0.4208,0.25763,1.5211,1.89294,0.02562,0,0,13.5189,0,13.5189,0,0.0704753,0.182046,3.00161,3.00161,0,1,14.3659,14.2571,11.9337,0.009109,0.009109,0.009109,0.0045545,0.018218
38,7105.85,1.57118,2.23015,0.02128,0.99853,13.4065,0.50795,0.41737,0.42898,0.26432,1.51809,1.87857,0.02558,0,0,13.4065,0,13.4065,0,0.0698899,0.181348,3.00161,3.00161,0,1,14.2814,14.1372,11.8009,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
39,7290.8,1.5702,2.21589,0.02127,0.99852,13.431,0.50397,0.42361,0.43412,0.26779,1.51207,1.87645,0.0255,0,0,13.431,0,13.431,0,0.0700255,0.182361,3.00161,3.00161,0,1,14.2814,14.151,11.8606,0.0090595,0.0090595,0.0090595,0.00452975,0.018119
40,7475.94,1.57333,2.21066,0.02113,0.99891,13.3733,0.51211,0.4312,0.44122,0.27346,1.50233,1.85956,0.02514,0,0,13.3733,0,13.3733,0,0.0697222,0.182,3.00161,3.00161,0,1,14.2099,14.1121,11.798,0.00903475,0.00903475,0.00903475,0.00451737,0.0180695
41,7659.86,1.57048,2.19948,0.02114,0.99907,13.3366,0.52669,0.41832,0.44329,0.27458,1.50982,1.84181,0.02528,0,0,13.3366,0,13.3366,0,0.0695295,0.181962,3.00161,3.00161,0,1,14.1731,14.0549,11.7817,0.00901,0.00901,0.00901,0.004505,0.01802
42,7845.98,1.5735,2.19968,0.02097,0.99838,13.2733,0.52403,0.43638,0.451,0.28121,1.50041,1.82577,0.02515,0,0,13.2733,0,13.2733,0,0.069197,0.181216,3.00161,3.00161,0,1,14.0851,14.0014,11.7333,0.00898525,0.00898525,0.00898525,0.00449263,0.0179705
43,8033.12,1.56691,2.17854,0.02107,0.99834,13.2912,0.52104,0.43392,0.45343,0.28296,1.50058,1.80967,0.02512,0,0,13.2912,0,13.2912,0,0.0692911,0.182752,3.00161,3.00161,0,1,14.1311,14.0133,11.7291,0.0089605,0.0089605,0.0089605,0.00448025,0.017921
44,8218.61,1.56545,2.16215,0.02106,0.99893,13.263,0.53385,0.43586,0.45929,0.28859,1.49007,1.79663,0.02485,0,0,13.263,0,13.263,0,0.0691507,0.183398,3.00161,3.00161,0,1,14.0807,14.0061,11.7023,0.00893575,0.00893575,0.00893575,0.00446788,0.0178715
45,8402.92,1.55396,2.15896,0.0208,0.999,13.279,0.5489,0.43314,0.4618,0.29041,1.4866,1.79566,0.0248,0,0,13.279,0,13.279,0,0.0692305,0.184234,3.00161,3.00161,0,1,14.0878,14.0148,11.7344,0.008911,0.008911,0.008911,0.0044555,0.017822
46,8587.28,1.54417,2.1533,0.02084,0.9988,13.2219,0.54762,0.43531,0.46354,0.29177,1.48092,1.78105,0.02464,0,0,13.2219,0,13.2219,0,0.068929,0.184091,3.00161,3.00161,0,1,14.0383,13.9616,11.6659,0.00888625,0.00888625,0.00888625,0.00444313,0.0177725
47,8770.74,1.55492,2.13313,0.02071,0.9992,13.1798,0.54422,0.44243,0.46887,0.29551,1.47587,1.77283,0.02451,0,0,13.1798,0,13.1798,0,0.0687155,0.184197,3.00161,3.00161,0,1,14.0034,13.8992,11.6368,0.0088615,0.0088615,0.0088615,0.00443075,0.017723
48,8955.51,1.55019,2.13825,0.02063,0.99897,13.155,0.54846,0.44418,0.47524,0.29904,1.47168,1.76114,0.02436,0,0,13.155,0,13.155,0,0.0685814,0.184052,3.00161,3.00161,0,1,13.9634,13.8741,11.6276,0.00883675,0.00883675,0.00883675,0.00441838,0.0176735
49,9138.85,1.54802,2.12879,0.0207,0.99921,13.1861,0.55469,0.44368,0.48035,0.30352,1.46555,1.75375,0.02418,0,0,13.1861,0,13.1861,0,0.0687475,0.185117,3.00161,3.00161,0,1,13.9891,13.9291,11.64,0.008812,0.008812,0.008812,0.004406,0.017624
50,9322.43,1.54523,2.1069,0.02056,0.99912,13.1347,0.54765,0.45274,0.48358,0.30525,1.46809,1.74223,0.02425,0,0,13.1347,0,13.1347,0,0.0684749,0.185484,3.00161,3.00161,0,1,13.9517,13.864,11.5883,0.00878725,0.00878725,0.00878725,0.00439362,0.0175745
51,9507.84,1.54339,2.11488,0.02058,0.99921,13.1204,0.55577,0.44927,0.4851,0.30667,1.46655,1.73944,0.02425,0,0,13.1204,0,13.1204,0,0.0684033,0.185101,3.00161,3.00161,0,1,13.9275,13.8484,11.5853,0.0087625,0.0087625,0.0087625,0.00438125,0.017525
