dominant_expert_agreement,jensen_shannon_divergence,layer_index,layer_name,normalized_route_entropy_a,normalized_route_entropy_b,route_entropy_a,route_entropy_b,seed_a,seed_b,token_top1_agreement
1,7.085680521341038e-06,0,model.14.m.0,0.9999245726525485,0.9999718033211964,1.098529423257298,1.0985813114502765,0,1,0.44
1,5.456490453443954e-06,1,model.14.m.1,0.999982887876802,0.9999994635623887,1.0985934890792792,1.0986116993311579,0,1,0.31875
0,0.0006943753384577225,2,model.20.m.0,0.9999807246332496,0.9980258569459497,1.0985911125133292,1.0964434708493414,0,1,0.668125
0,2.51366641591336e-07,3,model.20.m.1,0.999999548818503,0.9999997880234521,1.0986117929945727,1.0986120557880694,0,1,0.325625
1,1.395649615204151e-10,4,model.23.m.0,0.9999999747691191,0.9999999741734221,1.098612260949154,1.098612260294714,0,1,1.0
0,1.2976114891465e-08,5,model.23.m.1,0.9999999637568899,1.0000000022416924,1.0986122488509837,1.0986122911308607,0,1,0.0
1,1.2581269006430365e-06,0,model.14.m.0,0.9999565277430937,0.9999687127991899,1.0985645295124564,1.0985779161648217,0,1,0.5225
1,3.5758798926887854e-06,1,model.14.m.1,0.9999870340846531,0.9999988835605301,1.0985980441541758,1.0986110621339886,0,1,0.29625
1,0.0007287183719316484,2,model.20.m.0,0.9999730201167121,0.99787219027687,1.0985826482367829,1.0962746507583316,0,1,0.69
0,2.2916807948902113e-07,3,model.20.m.1,0.9999995475273601,0.9999997863918632,1.0986117915761073,1.0986120539955857,0,1,0.355625
1,1.320084405292032e-10,4,model.23.m.0,0.9999999777323988,0.9999999740045497,1.0986122642046494,1.0986122601091886,0,1,1.0
0,1.2987524201268347e-08,5,model.23.m.1,0.999999963782342,0.9999999995707818,1.0986122488789456,1.0986122881965654,0,1,0.0
0,1.0150546915681515e-05,0,model.14.m.0,0.9999796117923488,0.9999666750702243,1.0985898899326403,1.0985756774907391,0,1,0.37625
1,4.123731982559527e-06,1,model.14.m.1,0.9999837146702185,0.9999981814331216,1.0985943974046868,1.0986102907681894,0,1,0.280625
0,0.0009525827116346293,2,model.20.m.0,0.9999718264115186,0.9976412407876425,1.0985813368175883,1.0960209268114047,0,1,0.676875
0,2.466488439842893e-07,3,model.20.m.1,0.9999994873810281,0.9999998139926308,1.0986117254986079,1.0986120843181282,0,1,0.32625
1,1.3802420130593497e-10,4,model.23.m.0,0.9999999778265486,0.9999999765064069,1.0986122643080836,1.0986122628577597,0,1,1.0
0,1.3045644705876285e-08,5,model.23.m.1,0.9999999557856253,1.0000000022754727,1.0986122400936544,1.098612291167972,0,1,0.0
1,2.3322155875922312e-05,0,model.14.m.0,0.9998850784788851,0.9999906230587708,1.0984860344727805,1.0986019870452453,0,1,0.51
0,7.351404903870745e-06,1,model.14.m.1,0.9999800563306522,0.9999990555692679,1.0985903783078832,1.0986112511049018,0,1,0.29625
0,0.0006468071182951785,2,model.20.m.0,0.9999790735984312,0.9981226662367839,1.0985892986661887,1.096549826725909,0,1,0.74125
1,2.357284482513587e-07,3,model.20.m.1,0.9999993567758039,0.9999998156322553,1.0986115820141036,1.0986120861194397,0,1,0.274375
1,1.364995162836864e-10,4,model.23.m.0,0.999999977624518,0.9999999763812063,1.0986122640861302,1.0986122627202128,0,1,1.0
0,1.3079611351022921e-08,5,model.23.m.1,0.9999999610925986,0.9999999996121731,1.0986122459239605,1.0986122882420384,0,1,0.0
1,2.2121063791160993e-07,0,model.14.m.0,0.9999918983407862,0.9999909495622764,1.0986033880857389,1.0986023457460088,0,1,0.476875
0,7.384208636895665e-06,1,model.14.m.1,0.9999797956073334,0.9999988916611147,1.0985900918740412,1.0986110710333903,0,1,0.238125
0,0.000769899610823235,2,model.20.m.0,0.9999687042480161,0.9981294353765373,1.0985779067703971,1.0965572633860259,0,1,0.654375
1,2.0442425529963336e-07,3,model.20.m.1,0.9999994487915924,0.9999998055542203,1.0986116831037795,1.0986120750475867,0,1,0.309375
1,1.273212344450728e-10,4,model.23.m.0,0.9999999753215909,0.9999999736047213,1.0986122615561063,1.0986122596699321,0,1,1.0
0,1.3133271908918041e-08,5,model.23.m.1,0.9999999637311283,0.9999999996184791,1.0986122488226817,1.0986122882489662,0,1,0.0
1,6.351353497990354e-06,0,model.14.m.0,0.999955776751885,0.99998996290439,1.0985637044642858,1.0986012617915302,0,1,0.449375
1,4.419980879804246e-06,1,model.14.m.1,0.9999859240252102,0.9999985772852584,1.0985968246292308,1.0986107256562114,0,1,0.260625
1,0.0007514972714100215,2,model.20.m.0,0.9999714964052109,0.9976896628692764,1.0985809742686032,1.0960741239053307,0,1,0.656875
1,1.5974015173537536e-07,3,model.20.m.1,0.9999995698739494,0.9999998017950115,1.098611816126345,1.0986120709176737,0,1,0.256875
1,1.3511931594352997e-10,4,model.23.m.0,0.999999977624518,0.9999999763844712,1.0986122640861302,1.0986122627237997,0,1,1.0
