epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
32,5991.94,1.60773,2.29054,0.02177,0.99814,15.1366,0.46617,0.40481,0.39762,0.23951,1.55412,1.96126,0.0265,0,0,15.1366,0,15.1366,0,0.0708598,0.199332,3.34277,3.34277,0,1,0.00923275,0.00923275,0.00923275,0.00461637,0.0184655
33,6179.22,1.59431,2.26591,0.02168,0.99834,15.1033,0.49989,0.40804,0.41462,0.24926,1.55182,1.93074,0.02636,0,0,15.1033,0,15.1033,0,0.0707073,0.200851,3.34277,3.34277,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
34,6366.35,1.59706,2.26532,0.02153,0.99835,15.0361,0.49849,0.42035,0.41784,0.25283,1.55066,1.91537,0.02645,0,0,15.0361,0,15.0361,0,0.0703907,0.199913,3.34277,3.34277,0,1,0.00918325,0.00918325,0.00918325,0.00459163,0.0183665
35,6552.06,1.59574,2.24082,0.02157,0.99842,15.0329,0.4895,0.43894,0.4274,0.25973,1.53799,1.88923,0.02619,0,0,15.0329,0,15.0329,0,0.0703728,0.201126,3.34277,3.34277,0,1,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,6737.85,1.5833,2.23393,0.02139,0.99857,15.037,0.5186,0.41766,0.43207,0.26386,1.52739,1.8716,0.02586,0,0,15.037,0,15.037,0,0.0703918,0.202348,3.34277,3.34277,0,1,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,6922.52,1.58612,2.21691,0.02128,0.99854,14.9959,0.51098,0.42526,0.43649,0.2677,1.53103,1.8627,0.02584,0,0,14.9959,0,14.9959,0,0.0701996,0.202937,3.34277,3.34277,0,1,0.009109,0.009109,0.009109,0.0045545,0.018218
38,7108.87,1.57788,2.20863,0.02135,0.99855,14.9068,0.53315,0.42862,0.44797,0.27661,1.52273,1.8468,0.0257,0,0,14.9068,0,14.9068,0,0.0697812,0.202506,3.34277,3.34277,0,1,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
39,7294.31,1.57741,2.19173,0.02144,0.99858,14.9618,0.54609,0.42425,0.45182,0.27747,1.51355,1.84029,0.02552,0,0,14.9618,0,14.9618,0,0.0700439,0.203956,3.34277,3.34277,0,1,0.0090595,0.0090595,0.0090595,0.00452975,0.018119
40,7478.18,1.57863,2.19054,0.02121,0.99874,14.8932,0.53165,0.43629,0.45745,0.28319,1.50502,1.82429,0.02536,0,0,14.8932,0,14.8932,0,0.0697244,0.20342,3.34277,3.34277,0,1,0.00903475,0.00903475,0.00903475,0.00451737,0.0180695
41,7662.88,1.57178,2.17727,0.02113,0.99881,14.8813,0.54591,0.43709,0.45886,0.28306,1.50626,1.81046,0.02533,0,0,14.8813,0,14.8813,0,0.0696645,0.204315,3.34277,3.34277,0,1,0.00901,0.00901,0.00901,0.004505,0.01802
