analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison,expert,fdr_q_value,layer,mean_diff_high_minus_low,mean_high,mean_low,metric,n_pairs,n_sequences,paired_hedges_g,permutation_p_value_two_sided,significant_after_fdr
video_sequence,0.00015635857365728028,-0.0031728867929529535,False,occlusion_0_to_1+,DeformableTransformer,0.14957008598280344,model.20.m.0,-0.0015292029264260367,0.3195902896203452,0.32111949254677125,inside_probability,12296,76,-0.20401241923753075,0.07478504299140172,False
video_sequence,-0.0006657154262993043,-0.04795171040767771,True,occlusion_0_to_1+,DeformableTransformer,0.07860827834433112,model.20.m.0,-0.024777321832572585,0.2800989245957193,0.30487624642829175,inside_top1_share,12296,76,-0.23103340505842615,0.036392721455708855,False
video_sequence,0.001137386005855463,-0.0028015646840339474,False,occlusion_0_to_1+,DeformableTransformer,0.5527326967039025,model.20.m.0,-0.0009049873942300755,0.0006798906123268207,0.001584878006556896,inside_minus_ring_probability,12296,76,-0.10220587841301886,0.3787242551489702,False
video_sequence,0.004282664200966212,0.0013340790475367067,True,occlusion_0_to_1+,LocalConvTransformer,0.002159568086382723,model.20.m.0,0.0028054031369428526,0.35587394658948385,0.35306854345254096,inside_probability,12296,76,0.41181209154817533,0.0005998800239952009,True
video_sequence,0.061938629623535524,0.014337424669137138,True,occlusion_0_to_1+,LocalConvTransformer,0.0057165037580719155,model.20.m.0,0.03815770011400771,0.6818655062581617,0.6437078061441539,inside_top1_share,12296,76,0.35283951284197734,0.001799640071985603,True
video_sequence,0.0025079010065430494,-0.0005713695456175371,False,occlusion_0_to_1+,LocalConvTransformer,0.405409827125484,model.20.m.0,0.0009465697682447717,0.0009731399803991988,2.6570212154427003e-05,inside_minus_ring_probability,12296,76,0.13402769476290938,0.247750449910018,False
video_sequence,-0.0007310370502743211,-0.0017691344417407847,True,occlusion_0_to_1+,WindowTransformer,0.0009816218574466924,model.20.m.0,-0.0012761991670636682,0.3245357630631293,0.32581196223019293,inside_probability,12296,76,-0.5514630258534016,0.0001999600079984003,True
video_sequence,-0.007116162902999656,-0.019782588633817252,True,occlusion_0_to_1+,WindowTransformer,0.0009816218574466924,model.20.m.0,-0.013380377880687674,0.03803557226183582,0.051415950142523495,inside_top1_share,12296,76,-0.4760025795660731,0.0001999600079984003,True
video_sequence,0.0006426970756657493,-0.0007476387557172668,False,occlusion_0_to_1+,WindowTransformer,1.0,model.20.m.0,-4.1580052122571184e-05,-0.0016530306168397128,-0.0016114505647171417,inside_minus_ring_probability,12296,76,-0.013364065097904347,0.9130173965206959,False
video_sequence,0.0011550884349701177,0.0001295204245255831,True,occlusion_0_to_1+,DeformableTransformer,0.022109863741537405,model.20.m.1,0.0006635475610208413,0.33793797887276017,0.33727443131173923,inside_probability,12296,76,0.28721658365790664,0.008598280343931213,True
video_sequence,0.062163040859770945,0.005234393642982577,True,occlusion_0_to_1+,DeformableTransformer,0.04957190380105798,model.20.m.1,0.03464220678548574,0.5940021182533014,0.5593599114678157,inside_top1_share,12296,76,0.26848362788333635,0.020195960807838434,True
video_sequence,0.0005292003461949122,-0.0005292980385104622,False,occlusion_0_to_1+,DeformableTransformer,1.0,model.20.m.1,1.703751792670637e-05,0.0010091299740177335,0.000992092456091027,inside_minus_ring_probability,12296,76,0.007117238540424661,0.9500099980003999,False
video_sequence,-0.00020027742800232266,-0.0006721979157712099,True,occlusion_0_to_1+,LocalConvTransformer,0.002159568086382723,model.20.m.1,-0.0004309888694534572,0.33081104900863645,0.3312420378780898,inside_probability,12296,76,-0.4001634186980736,0.0005998800239952009,True
video_sequence,-0.005733379314768803,-0.03367261205124326,True,occlusion_0_to_1+,LocalConvTransformer,0.01295740851829634,model.20.m.1,-0.019521319698377494,0.1641899049870466,0.18371122468542414,inside_top1_share,12296,76,-0.30890780740570584,0.004799040191961607,True
video_sequence,0.00021247912602445065,-0.00024217347044223195,False,occlusion_0_to_1+,LocalConvTransformer,1.0,model.20.m.1,-2.250419853798974e-05,-0.00024855865622777835,-0.00022605445768978863,inside_minus_ring_probability,12296,76,-0.02165487062025714,0.856628674265147,False
