layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.9/routing/router/router.3/Conv,Conv,/model.9/routing/router/router.3/Conv_output_0,2.0742,2.0742,1.0,1.7,1.0419
/model.25/Mul_2,Mul,/model.25/Mul_2_output_0,653.4532,635.2444,1.029,0.0,0.3242
/model.25/Concat_5,Concat,output0,653.4532,609.1409,1.073,0.0,0.3242
/model.11/m.0/m.0.0/attn/Concat,Concat,/model.11/m.0/m.0.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.0/m.0.1/attn/Concat,Concat,/model.11/m.0/m.0.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.1/m.1.0/attn/Concat,Concat,/model.11/m.1/m.1.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.1/m.1.1/attn/Concat,Concat,/model.11/m.1/m.1.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.8/m.0/m.0.0/attn/Concat,Concat,/model.8/m.0/m.0.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.0/m.0.1/attn/Concat,Concat,/model.8/m.0/m.0.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.1/m.1.0/attn/Concat,Concat,/model.8/m.1/m.1.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.1/m.1.1/attn/Concat,Concat,/model.8/m.1/m.1.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.25/Add_2,Add,/model.25/Add_2_output_0,160.1702,158.9388,1.008,0.0,0.2541
/model.25/Add_1,Add,/model.25/Add_1_output_0,82.7731,81.4141,1.017,0.0,0.2214
/model.25/Concat_4,Concat,/model.25/Concat_4_output_0,80.0851,79.3683,1.009,0.0,0.2198
/model.25/Concat_3,Concat,/model.25/Concat_3_output_0,40.7229,18.2143,2.236,0.0,0.1866
/model.25/dfl/conv/Conv,Conv,/model.25/dfl/conv/Conv_output_0,14.7006,10.8,1.361,0.0,0.1377
/model.6/Concat,Concat,/model.6/Concat_output_0,9.97,2.3045,4.326,0.0,0.1198
/model.9/Concat,Concat,/model.9/Concat_output_0,8.9019,3.1468,2.829,0.0,0.1146
/model.12/Concat,Concat,/model.12/Concat_output_0,5.3584,2.6536,2.019,0.0,0.0925
/model.25/Add,Add,/model.25/Add_output_0,5.0,5.0,1.0,0.0,0.0896
/model.25/Mul_1,Mul,/model.25/Mul_1_output_0,4.0,4.0,1.0,0.0,0.0805
/model.25/Mul,Mul,/model.25/Mul_output_0,2.0,2.0,1.0,0.0,0.0549
/model.6/routing/Add,Add,/model.6/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.6/Mul,Mul,/model.6/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.6/Mul_2,Mul,/model.6/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/routing/Add,Add,/model.9/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/Mul,Mul,/model.9/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/Mul_2,Mul,/model.9/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/routing/Add,Add,/model.12/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/Mul,Mul,/model.12/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/Mul_2,Mul,/model.12/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
