seed,comparison_type,a_key,b_key,metric,field,old_value,new_value,delta_new_minus_old,note
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP50,ci_high,0.00031775592192806457,0.0006116231175701259,0.0002938671956420613,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP50,prob_gt_0,1.0,1.0,0.0,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP,point_official,-0.002964401365117997,-0.002964401365117997,0.0,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP,mean_bootstrap,-0.001553439697757551,-0.0025807392277996774,-0.0010272995300421265,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP,ci_low,-0.0032774966047861703,-0.005607636300911711,-0.002330139696125541,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP,ci_high,0.00016213172303737589,0.0006585029282969446,0.0004963712052595687,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP,prob_gt_0,0.041,0.055,0.013999999999999999,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP50,point_official,-0.0029187907911841227,-0.0029187907911841227,0.0,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP50,mean_bootstrap,-0.0019383786266346072,-0.002514970766337354,-0.0005765921397027467,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP50,ci_low,-0.004150264025680861,-0.006157148140487734,-0.002006884114806873,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP50,ci_high,0.0003391293004998963,0.0012852578800168768,0.0009461285795169805,
seed0,routing_descriptive_mixed,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,AP50,prob_gt_0,0.044,0.097,0.053000000000000005,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP,point_official,0.0028600994714060857,0.0028600994714060857,0.0,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP,mean_bootstrap,0.0007490886714719251,0.0031898487863422035,0.0024407601148702784,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP,ci_low,-0.0009416918442537586,6.43291238413557e-05,0.0010060209680951143,CI sign changed: old(0) new(+)
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP,ci_high,0.002824587909981857,0.0064852447655082135,0.0036606568555263563,CI sign changed: old(0) new(+)
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP,prob_gt_0,0.775,0.977,0.20199999999999996,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP50,point_official,0.003668322734486529,0.003668322734486529,0.0,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP50,mean_bootstrap,0.0005041804730606115,0.004025733774964508,0.003521553301903896,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP50,ci_low,-0.0016303033889778773,7.737279528857721e-05,0.0017076761842664545,CI sign changed: old(0) new(+)
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP50,ci_high,0.0030910870194954254,0.007883845040432824,0.004792758020937399,CI sign changed: old(0) new(+)
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,AP50,prob_gt_0,0.65,0.977,0.32699999999999996,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP,point_official,0.0058245008365240825,0.0058245008365240825,0.0,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP,mean_bootstrap,0.002302528369229474,0.005770588014141878,0.0034680596449124038,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP,ci_low,0.0004373683714207349,0.002557250131397404,0.002119881759976669,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP,ci_high,0.004423722268557806,0.008940169186261004,0.0045164469177031985,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP,prob_gt_0,0.989,1.0,0.01100000000000001,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP50,point_official,0.0065871135256706514,0.0065871135256706514,0.0,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP50,mean_bootstrap,0.0024425590996952178,0.006540704541301864,0.004098145441606646,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP50,ci_low,0.00021203031172484232,0.0029246976703149463,0.002712667358590104,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP50,ci_high,0.004960033034546563,0.010543078195748512,0.005583045161201949,
seed0,routing_descriptive_mixed,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,AP50,prob_gt_0,0.979,1.0,0.02100000000000002,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP,point_official,0.005891102219793443,0.005891102219793443,0.0,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP,mean_bootstrap,0.0029057090662540025,0.006201902809011662,0.0032961937427576594,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP,ci_low,0.0006077339434628071,0.0024413782784246107,0.0018336443349618037,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP,ci_high,0.005235918705608855,0.010250153073561086,0.0050142343679522305,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP,prob_gt_0,0.992,0.999,0.007000000000000006,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP50,point_official,0.005025551580255194,0.005025551580255194,0.0,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP50,mean_bootstrap,0.0025733014947472693,0.005338380647548057,0.002765079152800788,
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP50,ci_low,-0.0003045114692968587,0.001021251545722135,0.0013257630150189936,CI sign changed: old(0) new(+)
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP50,ci_high,0.005513038224949363,0.010375867933636596,0.004862829708687233,CI sign changed: old(0) new(+)
seed1,routing_descriptive_mixed,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,AP50,prob_gt_0,0.956,0.99,0.03400000000000003,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP,point_official,0.012845272718256306,0.012845272718256306,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP,mean_bootstrap,0.00588794418285238,0.0128905051264982,0.007002560943645821,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP,ci_low,0.00386919715591047,0.009616769569288919,0.005747572413378449,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP,ci_high,0.007964305350686679,0.016364589091642512,0.008400283740955833,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP,prob_gt_0,1.0,1.0,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP50,point_official,0.013878259248483849,0.013878259248483849,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP50,mean_bootstrap,0.006399413647347463,0.013810031738010771,0.007410618090663308,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP50,ci_low,0.003899230794468883,0.009758956358296045,0.005859725563827162,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP50,ci_high,0.00898027941624549,0.018256738990442778,0.009276459574197288,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,AP50,prob_gt_0,1.0,1.0,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP,point_official,0.006954170498462864,0.006954170498462864,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP,mean_bootstrap,0.0029822351165983726,0.006688602317486556,0.0037063672008881836,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP,ci_low,0.0004932676413491044,0.0028220030246640104,0.002328735383314906,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP,ci_high,0.005431968019888933,0.010515484799774433,0.0050835167798855,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP,prob_gt_0,0.99,1.0,0.010000000000000009,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP50,point_official,0.008852707668228654,0.008852707668228654,0.0,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP50,mean_bootstrap,0.003826112152600193,0.008471651090462719,0.004645538937862527,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP50,ci_low,0.0009578464932389896,0.003736402169411346,0.002778555676172356,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP50,ci_high,0.00691094088869354,0.013006197179275925,0.006095256290582385,
seed1,routing_descriptive_mixed,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,AP50,prob_gt_0,0.993,1.0,0.007000000000000006,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP,point_official,0.0035103750622569874,0.0035103750622569874,0.0,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP,mean_bootstrap,0.0020305310096811113,0.0036393363131190654,0.001608805303437954,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP,ci_low,0.0005864210866561304,0.0007574935039493247,0.00017107241729319433,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP,ci_high,0.003616599662041836,0.0066947436510568226,0.0030781439890149864,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP,prob_gt_0,0.996,0.995,-0.0010000000000000009,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP50,point_official,0.003309321241766805,0.003309321241766805,0.0,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP50,mean_bootstrap,0.002276008751767354,0.0036369466440758147,0.0013609378923084606,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP50,ci_low,0.00022940415179451001,2.3946970112986854e-06,-0.00022700945478321133,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP50,ci_high,0.004324671840308297,0.007440300872946004,0.0031156290326377067,
seed2,routing_descriptive_mixed,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,AP50,prob_gt_0,0.988,0.977,-0.01100000000000001,
seed2,routing_descriptive_mixed,seed2__fixed-balanced-routing__native-fixed,seed2__true-text__true-new17,AP,point_official,-0.00669743340447998,-0.00669743340447998,0.0,
seed2,routing_descriptive_mixed,seed2__fixed-balanced-routing__native-fixed,seed2__true-text__true-new17,AP,mean_bootstrap,-0.003131963491089672,-0.006801028399235031,-0.003669064908145359,
seed2,routing_descriptive_mixed,seed2__fixed-balanced-routing__native-fixed,seed2__true-text__true-new17,AP,ci_low,-0.005024204153019712,-0.010242726852800255,-0.005218522699780542,
