layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.18/m.0/cv2/conv/Conv,Conv,/model.18/m.0/cv2/conv/Conv_output_0,8.6092,3.05,2.823,3.6,4.4397
/model.15/m.0/m/m.1/cv1/conv/Conv,Conv,/model.15/m.0/m/m.1/cv1/conv/Conv_output_0,9.4824,4.2488,2.232,5.9,4.4276
/model.24/m.0/m/m.0/cv1/conv/Conv,Conv,/model.24/m.0/m/m.0/cv1/conv/Conv_output_0,8.1615,3.6553,2.233,5.9,4.4208
/model.11/m.1/m.1.0/attn/MatMul,MatMul,/model.11/m.1/m.1.0/attn/MatMul_output_0,114.7001,44.6109,2.571,4.1,4.4067
/model.15/m.0/m/m.0/cv2/conv/Conv,Conv,/model.15/m.0/m/m.0/cv2/conv/Conv_output_0,9.8777,3.9752,2.485,4.6,4.393
/model.15/m.0/m/m.1/cv2/act/Mul,Mul,/model.15/m.0/m/m.1/cv2/act/Mul_output_0,11.8776,5.2052,2.282,5.5,4.3823
/model.8/m.0/m.0.0/mlp/mlp.0/conv/Conv,Conv,/model.8/m.0/m.0.0/mlp/mlp.0/conv/Conv_output_0,9.9635,4.817,2.068,6.6,4.3241
/model.11/m.1/m.1.0/attn/Mul,Mul,/model.11/m.1/m.1.0/attn/Mul_output_0,20.2763,7.8862,2.571,4.1,4.322
/model.11/m.1/m.1.1/attn/MatMul,MatMul,/model.11/m.1/m.1.1/attn/MatMul_output_0,111.1726,40.3905,2.752,3.4,4.3145
/model.11/m.0/m.0.1/mlp/mlp.1/conv/Conv,Conv,/model.11/m.0/m.0.1/mlp/mlp.1/conv/Conv_output_0,6.8407,3.5817,1.91,8.0,4.291
/model.8/m.0/m.0.1/attn/MatMul,MatMul,/model.8/m.0/m.0.1/attn/MatMul_output_0,100.1936,50.642,1.978,6.7,4.28
/model.4/conv/Conv,Conv,/model.4/conv/Conv_output_0,8.1469,3.2956,2.472,4.4,4.2607
/model.8/m.1/m.1.1/Add,Add,/model.8/m.1/m.1.1/Add_output_0,19.7446,8.6806,2.275,5.1,4.2544
/model.2/m.0/cv1/act/Mul,Mul,/model.2/m.0/cv1/act/Mul_output_0,19.6109,7.7783,2.521,4.1,4.2489
/model.8/m.0/m.0.1/Add_1,Add,/model.8/m.0/m.0.1/Add_1_output_0,15.0763,6.6826,2.256,5.2,4.2483
/model.11/m.1/m.1.1/mlp/mlp.1/conv/Conv,Conv,/model.11/m.1/m.1.1/mlp/mlp.1/conv/Conv_output_0,6.1851,3.0926,2.0,6.9,4.2331
/model.11/m.1/m.1.1/attn/Mul,Mul,/model.11/m.1/m.1.1/attn/Mul_output_0,19.6527,7.1401,2.752,3.4,4.2299
/model.8/m.0/m.0.1/attn/Mul,Mul,/model.8/m.0/m.0.1/attn/Mul_output_0,17.7119,8.9523,1.978,6.7,4.1956
/model.11/m.1/m.1.0/attn/MatMul_1,MatMul,/model.11/m.1/m.1.0/attn/MatMul_1_output_0,8.3144,4.061,2.047,6.3,4.1727
/model.8/m.1/m.1.0/attn/MatMul_1,MatMul,/model.8/m.1/m.1.0/attn/MatMul_1_output_0,7.4274,3.2501,2.285,4.9,4.1662
/model.11/m.1/m.1.1/attn/MatMul_1,MatMul,/model.11/m.1/m.1.1/attn/MatMul_1_output_0,8.8816,4.2901,2.07,6.0,4.1386
/model.5/m.0/cv2/act/Mul,Mul,/model.5/m.0/cv2/act/Mul_output_0,5.2582,2.8661,1.835,7.8,4.0812
/model.12/Mul_3,Mul,/model.12/Mul_3_output_0,2.1466,1.1814,1.817,8.0,4.052
/model.5/m.0/cv1/act/Mul,Mul,/model.5/m.0/cv1/act/Mul_output_0,5.3733,2.1963,2.447,3.7,3.8715
/model.25/cv2.2/cv2.2.2/Conv,Conv,/model.25/cv2.2/cv2.2.2/Conv_output_0,12.6773,8.0529,1.574,9.6,3.8509
/model.8/m.1/m.1.0/mlp/mlp.0/conv/Conv,Conv,/model.8/m.1/m.1.0/mlp/mlp.0/conv/Conv_output_0,10.0933,5.0476,2.0,5.4,3.8454
/model.8/m.0/m.0.1/mlp/mlp.0/conv/Conv,Conv,/model.8/m.0/m.0.1/mlp/mlp.0/conv/Conv_output_0,10.3792,5.0087,2.072,5.0,3.8316
/model.8/m.1/m.1.1/Add_1,Add,/model.8/m.1/m.1.1/Add_1_output_0,18.8447,8.7741,2.148,4.5,3.808
/model.18/m.0/cv1/conv/Conv,Conv,/model.18/m.0/cv1/conv/Conv_output_0,2.9655,1.5617,1.899,5.6,3.6596
/model.15/m.0/cv1/conv/Conv,Conv,/model.15/m.0/cv1/conv/Conv_output_0,5.1544,2.6453,1.949,5.1,3.6154
