layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.18/m.0/m/m.0/Add,Add,/model.18/m.0/m/m.0/Add_output_0,4.4458,1.8319,2.427,5.3,4.5519
/model.12/experts.1/conv/conv.3/Conv,Conv,/model.12/experts.1/conv/conv.3/Conv_output_0,5.2502,2.6223,2.002,8.2,4.5295
/model.12/Mul_3,Mul,/model.12/Mul_3_output_0,2.6121,1.2995,2.01,8.2,4.5198
/model.18/m.0/m/m.0/cv2/act/Mul,Mul,/model.18/m.0/m/m.0/cv2/act/Mul_output_0,4.3555,1.7606,2.474,5.0,4.5165
/model.18/cv1/conv/Conv,Conv,/model.18/cv1/conv/Conv_output_0,6.6251,2.987,2.218,6.2,4.4845
/model.15/m.0/cv3/conv/Conv,Conv,/model.15/m.0/cv3/conv/Conv_output_0,9.0056,3.5872,2.51,4.7,4.4768
/model.8/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.8/m.1/m.1.1/attn/proj/conv/Conv_output_0,10.2759,4.0984,2.507,4.7,4.47
/model.4/conv/Conv,Conv,/model.4/conv/Conv_output_0,8.2843,3.2718,2.532,4.6,4.4587
/model.24/m.0/m/m.0/cv2/conv/Conv,Conv,/model.24/m.0/m/m.0/cv2/conv/Conv_output_0,8.3813,3.6518,2.295,5.5,4.4191
/model.8/m.1/m.1.1/attn/Add,Add,/model.8/m.1/m.1.1/attn/Add_output_0,7.6128,3.5138,2.166,6.3,4.4099
/model.9/experts.0/conv/conv.0/Conv,Conv,/model.9/experts.0/conv/conv.0/Conv_output_0,9.992,3.9936,2.502,4.5,4.3878
/model.24/m.0/cv1/conv/Conv,Conv,/model.24/m.0/cv1/conv/Conv_output_0,3.5935,1.8484,1.944,8.2,4.3806
/model.11/m.1/m.1.0/mlp/mlp.0/conv/Conv,Conv,/model.11/m.1/m.1.0/mlp/mlp.0/conv/Conv_output_0,10.9646,5.9147,1.854,8.7,4.343
/model.11/m.1/m.1.1/mlp/mlp.0/conv/Conv,Conv,/model.11/m.1/m.1.1/mlp/mlp.0/conv/Conv_output_0,10.2565,5.6408,1.818,9.1,4.3251
/model.8/Concat,Concat,/model.8/Concat_output_0,13.8522,6.8608,2.019,6.9,4.3155
/model.24/m.0/m/m.1/cv1/conv/Conv,Conv,/model.24/m.0/m/m.1/cv1/conv/Conv_output_0,9.4229,4.0127,2.348,4.9,4.3001
/model.18/m.0/m/m.1/cv2/act/Mul,Mul,/model.18/m.0/m/m.1/cv2/act/Mul_output_0,15.8036,6.0288,2.621,3.8,4.2777
/model.21/m.0/m/m.0/cv1/conv/Conv,Conv,/model.21/m.0/m/m.0/cv1/conv/Conv_output_0,8.0546,3.4984,2.302,4.9,4.2
/model.8/m.1/m.1.0/attn/pe/conv/Conv,Conv,/model.8/m.1/m.1.0/attn/pe/conv/Conv_output_0,7.5752,3.8889,1.948,7.1,4.1846
/model.8/m.1/m.1.1/attn/MatMul,MatMul,/model.8/m.1/m.1.1/attn/MatMul_output_0,169.5506,47.0049,3.607,2.0,4.1717
/model.6/experts.1/conv/conv.0/Conv,Conv,/model.6/experts.1/conv/conv.0/Conv_output_0,11.0075,4.5245,2.433,4.3,4.17
/model.18/m.0/m/m.1/cv2/conv/Conv,Conv,/model.18/m.0/m/m.1/cv2/conv/Conv_output_0,15.8036,6.1494,2.57,3.8,4.1655
/model.5/cv1/act/Mul,Mul,/model.5/cv1/act/Mul_output_0,4.0405,2.5647,1.575,12.3,4.1571
/model.15/m.0/m/m.1/cv2/conv/Conv,Conv,/model.15/m.0/m/m.1/cv2/conv/Conv_output_0,14.4757,5.5032,2.63,3.5,4.1099
