layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.2/cv3.2.2/Conv,Conv,/model.25/cv3.2/cv3.2.2/Conv_output_0,31.0768,17.2069,1.806,2.3,2.3474
/model.8/m.0/m.0.1/attn/Mul,Mul,/model.8/m.0/m.0.1/attn/Mul_output_0,20.4776,10.1049,2.027,1.9,2.2889
/model.3/m.0/Add,Add,/model.3/m.0/Add_output_0,9.9936,6.2832,1.591,2.7,2.221
/model.6/routing/router/router.3/Conv,Conv,/model.6/routing/router/router.3/Conv_output_0,1.5628,0.9919,1.576,2.7,2.1242
/model.3/m.0/cv1/conv/Conv,Conv,/model.3/m.0/cv1/conv/Conv_output_0,9.0129,4.8256,1.868,1.9,2.1102
/model.18/m.0/cv1/act/Mul,Mul,/model.18/m.0/cv1/act/Mul_output_0,0.8715,0.7408,1.177,4.4,2.0073
/model.5/m.0/cv1/conv/Conv,Conv,/model.5/m.0/cv1/conv/Conv_output_0,4.1825,2.4087,1.736,2.0,2.0
/model.12/routing/router/router.3/Conv,Conv,/model.12/routing/router/router.3/Conv_output_0,4.219,2.0159,2.093,1.1,1.6545
/model.9/routing/router/router.3/Conv,Conv,/model.9/routing/router/router.3/Conv_output_0,2.0742,2.0742,1.0,1.6,1.002
/model.25/Mul_2,Mul,/model.25/Mul_2_output_0,650.2128,635.0545,1.024,0.0,0.3239
/model.25/Concat_5,Concat,output0,650.2128,609.2388,1.067,0.0,0.3239
/model.11/m.0/m.0.0/attn/Concat,Concat,/model.11/m.0/m.0.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.0/m.0.1/attn/Concat,Concat,/model.11/m.0/m.0.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.1/m.1.0/attn/Concat,Concat,/model.11/m.1/m.1.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.11/m.1/m.1.1/attn/Concat,Concat,/model.11/m.1/m.1.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.8/m.0/m.0.0/attn/Concat,Concat,/model.8/m.0/m.0.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.0/m.0.1/attn/Concat,Concat,/model.8/m.0/m.0.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.1/m.1.0/attn/Concat,Concat,/model.8/m.1/m.1.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.8/m.1/m.1.1/attn/Concat,Concat,/model.8/m.1/m.1.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.25/Add_2,Add,/model.25/Add_2_output_0,159.7429,158.8961,1.005,0.0,0.254
/model.25/Add_1,Add,/model.25/Add_1_output_0,82.8872,81.4275,1.018,0.0,0.2215
/model.25/Concat_4,Concat,/model.25/Concat_4_output_0,79.8714,79.3492,1.007,0.0,0.2196
/model.25/Concat_3,Concat,/model.25/Concat_3_output_0,49.6272,18.5156,2.68,0.0,0.1962
/model.25/dfl/conv/Conv,Conv,/model.25/dfl/conv/Conv_output_0,14.6857,10.4251,1.409,0.0,0.1376
/model.6/Concat,Concat,/model.6/Concat_output_0,9.4469,2.2872,4.13,0.0,0.1173
/model.9/Concat,Concat,/model.9/Concat_output_0,9.0107,3.1605,2.851,0.0,0.1152
/model.12/Concat,Concat,/model.12/Concat_output_0,6.0725,2.5999,2.336,0.0,0.0978
/model.25/Add,Add,/model.25/Add_output_0,5.0,5.0,1.0,0.0,0.0896
/model.25/Mul_1,Mul,/model.25/Mul_1_output_0,4.0,4.0,1.0,0.0,0.0805
/model.25/Mul,Mul,/model.25/Mul_output_0,2.0,2.0,1.0,0.0,0.0549
/model.6/routing/Add,Add,/model.6/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.6/Mul,Mul,/model.6/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.6/Mul_2,Mul,/model.6/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/routing/Add,Add,/model.9/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/Mul,Mul,/model.9/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.9/Mul_2,Mul,/model.9/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/routing/Add,Add,/model.12/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/Mul,Mul,/model.12/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.12/Mul_2,Mul,/model.12/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
