layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.7/m.0/m.0.1/attn/MatMul_1,MatMul,/model.7/m.0/m.0.1/attn/MatMul_1_output_0,10.7274,3.5281,3.041,3.1,4.3823
/model.20/m.0/cv1/conv/Conv,Conv,/model.20/m.0/cv1/conv/Conv_output_0,6.0196,2.3372,2.576,4.2,4.3339
/model.17/m.0/cv2/act/Mul,Mul,/model.17/m.0/cv2/act/Mul_output_0,10.0374,4.6697,2.149,6.1,4.321
/model.7/m.0/m.0.1/mlp/mlp.1/conv/Conv,Conv,/model.7/m.0/m.0.1/mlp/mlp.1/conv/Conv_output_0,5.3113,2.4825,2.139,6.1,4.2826
/model.5/experts.1/conv/conv.3/Conv,Conv,/model.5/experts.1/conv/conv.3/Conv_output_0,5.7575,2.9259,1.968,7.4,4.2734
/model.2/m.0/cv2/conv/Conv,Conv,/model.2/m.0/cv2/conv/Conv_output_0,17.9906,6.8398,2.63,3.7,4.2393
/model.7/m.0/m.0.0/mlp/mlp.1/conv/Conv,Conv,/model.7/m.0/m.0.0/mlp/mlp.1/conv/Conv_output_0,6.5614,2.8719,2.285,5.0,4.1988
/model.8/routing/router/router.3/Conv,Conv,/model.8/routing/router/router.3/Conv_output_0,2.5558,2.1181,1.207,29.6,4.1925
/model.17/m.0/cv1/conv/Conv,Conv,/model.17/m.0/cv1/conv/Conv_output_0,6.2043,2.9499,2.103,5.9,4.1726
/model.17/m.0/m/m.0/Add,Add,/model.17/m.0/m/m.0/Add_output_0,10.3721,4.3007,2.412,4.2,4.0955
/model.7/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.7/m.1/m.1.0/attn/proj/conv/Conv_output_0,5.7187,2.6746,2.138,5.5,4.0824
/model.20/m.0/cv2/conv/Conv,Conv,/model.20/m.0/cv2/conv/Conv_output_0,5.9109,2.3987,2.464,4.0,4.0718
/model.7/m.1/m.1.0/attn/MatMul,MatMul,/model.7/m.1/m.1.0/attn/MatMul_output_0,114.9459,42.2496,2.721,3.1,4.0692
/model.7/m.1/m.1.1/attn/MatMul,MatMul,/model.7/m.1/m.1.1/attn/MatMul_output_0,104.3738,35.9686,2.902,2.6,3.9891
/model.7/m.1/m.1.0/attn/Mul,Mul,/model.7/m.1/m.1.0/attn/Mul_output_0,20.3198,7.4687,2.721,3.1,3.9845
/model.14/m.0/m/m.0/cv2/conv/Conv,Conv,/model.14/m.0/m/m.0/cv2/conv/Conv_output_0,12.2017,5.2483,2.325,4.2,3.9618
/model.7/m.0/m.0.1/attn/MatMul,MatMul,/model.7/m.0/m.0.1/attn/MatMul_output_0,129.1295,44.354,2.911,2.6,3.9416
