domain,effective_experts_mean,effective_experts_std,expert,layer,mean_probability_mean,mean_probability_std,n_images,normalized_entropy_mean,normalized_entropy_std,top1_margin_mean,top1_margin_std,top1_share_mean,top1_share_std
small_objects,3.0,0.0,DeformableTransformer,model.23.m.1,0.33332589361816645,1.4566227531297218e-07,128,1.0,0.0,4.590220652289645e-05,1.8640575011802274e-07,0.0,0.0
small_objects,3.0,0.0,LocalConvTransformer,model.23.m.1,0.3333717961795628,1.0521663751291931e-07,128,1.0,0.0,4.590220652289645e-05,1.8640575011802274e-07,1.0,0.0
small_objects,3.0,0.0,WindowTransformer,model.23.m.1,0.33330231183208525,1.6270819416329733e-07,128,1.0,0.0,4.590220652289645e-05,1.8640575011802274e-07,0.0,0.0
sparse,2.9815619606524706,0.003620326308286133,DeformableTransformer,model.14.m.0,0.3167546435724944,0.0018539733577004288,128,0.9943877318874002,0.0011048789254659505,0.05388768465491012,0.005714595746225011,0.004672851562500001,0.005379864606336968
sparse,2.9815619606524706,0.003620326308286133,LocalConvTransformer,model.14.m.0,0.33672177512198687,0.00173448190919557,128,0.9943877318874002,0.0011048789254659505,0.05388768465491012,0.005714595746225011,0.5001513671875,0.03968183209370418
sparse,2.9815619606524706,0.003620326308286133,WindowTransformer,model.14.m.0,0.3465235575567931,0.002475816431937416,128,0.9943877318874002,0.0011048789254659505,0.05388768465491012,0.005714595746225011,0.49517578124999995,0.04146856151198196
sparse,2.998356407508254,0.0004099656126143324,DeformableTransformer,model.14.m.1,0.33696215599775314,0.0010744710923806136,128,0.9995011785067618,0.00012446132196485435,0.012710748058452737,0.0018839329941691043,0.4646044921875,0.04143717014020486
sparse,2.998356407508254,0.0004099656126143324,LocalConvTransformer,model.14.m.1,0.3299764939583838,0.0006277954100780466,128,0.9995011785067618,0.00012446132196485435,0.012710748058452737,0.0018839329941691043,0.1263330078125,0.027610213457010264
sparse,2.998356407508254,0.0004099656126143324,WindowTransformer,model.14.m.1,0.33306132815778255,0.0008050086997827813,128,0.9995011785067618,0.00012446132196485435,0.012710748058452737,0.0018839329941691043,0.4090625,0.04187665262927626
sparse,2.992542263120413,0.00123435115227793,DeformableTransformer,model.20.m.0,0.34058520663529634,0.0014149254321211612,128,0.997734337579459,0.0003754823944844324,0.030670746695250273,0.002574373100180793,0.557138671875,0.050693129364418096
sparse,2.992542263120413,0.00123435115227793,LocalConvTransformer,model.20.m.0,0.3348072359804064,0.0014288019929085765,128,0.997734337579459,0.0003754823944844324,0.030670746695250273,0.002574373100180793,0.40375,0.048867149267775536
sparse,2.992542263120413,0.00123435115227793,WindowTransformer,model.20.m.0,0.32460753549821675,0.00032320366090378915,128,0.997734337579459,0.0003754823944844324,0.030670746695250273,0.002574373100180793,0.039111328125,0.0179668482603703
sparse,2.9990928266197443,0.0004168037043297652,DeformableTransformer,model.20.m.1,0.3376611494459212,0.001410296516950482,128,0.9997247103601694,0.0001265176126004973,0.008963008971477393,0.0017823215576774586,0.5000830078125,0.08102647065124328
sparse,2.9990928266197443,0.0004168037043297652,LocalConvTransformer,model.20.m.1,0.33059440879151225,0.0006518514801473183,128,0.9997247103601694,0.0001265176126004973,0.008963008971477393,0.0017823215576774586,0.18446777343749998,0.04802497465356775
sparse,2.9990928266197443,0.0004168037043297652,WindowTransformer,model.20.m.1,0.3317444189451635,0.0007997367818506667,128,0.9997247103601694,0.0001265176126004973,0.008963008971477393,0.0017823215576774586,0.31544921875,0.06961406446850943
sparse,3.0,0.0,DeformableTransformer,model.23.m.0,0.3333495089318603,1.6322048583818766e-07,128,1.0,0.0,7.072784677575328e-05,8.822121835537106e-08,0.0,0.0
sparse,3.0,0.0,LocalConvTransformer,model.23.m.0,0.33323023607954383,3.7753567461122825e-07,128,1.0,0.0,7.072784677575328e-05,8.822121835537106e-08,0.0,0.0
sparse,3.0,0.0,WindowTransformer,model.23.m.0,0.3334202356636524,2.2514242536821255e-07,128,1.0,0.0,7.072784677575328e-05,8.822121835537106e-08,1.0,0.0
sparse,3.0,0.0,DeformableTransformer,model.23.m.1,0.333325759973377,1.629707436630359e-07,128,1.0,0.0,4.606736084156182e-05,2.1377709128396235e-07,0.0,0.0
sparse,3.0,0.0,LocalConvTransformer,model.23.m.1,0.3333718325011432,1.142353274778645e-07,128,1.0,0.0,4.606736084156182e-05,2.1377709128396235e-07,1.0,0.0
sparse,3.0,0.0,WindowTransformer,model.23.m.1,0.33330240612849593,1.789550436845171e-07,128,1.0,0.0,4.606736084156182e-05,2.1377709128396235e-07,0.0,0.0
dense,2.99513581674546,0.00040457794642876233,DeformableTransformer,all,0.3326727444849288,0.0005674198578877574,128,0.998520782450214,0.00012339300497209236,0.01815828230158919,0.0008589548588086276,0.2469156901041667,0.013854288367870478
dense,2.99513581674546,0.00040457794642876233,LocalConvTransformer,all,0.3337263656236852,0.00036987849708560323,128,0.998520782450214,0.00012339300497209236,0.01815828230158919,0.0008589548588086276,0.37263590494791665,0.012316522803007027
dense,2.99513581674546,0.00040457794642876233,WindowTransformer,all,0.3336008744857585,0.000381108942057409,128,0.998520782450214,0.00012339300497209236,0.01815828230158919,0.0008589548588086276,0.38044840494791665,0.014418142249605883
irregular_occluded,2.995094808749855,0.00040674973009393895,DeformableTransformer,all,0.33276599742627394,0.0005302646066994931,128,0.9985083243033539,0.00012407199350886351,0.018276858580113263,0.0008314392776985204,0.24722737630208336,0.015677771346842305
irregular_occluded,2.995094808749855,0.00040674973009393895,LocalConvTransformer,all,0.33366744084438926,0.00036566968400490046,128,0.9985083243033539,0.00012407199350886351,0.018276858580113263,0.0008314392776985204,0.37108805338541667,0.010973314290730748
irregular_occluded,2.995094808749855,0.00040674973009393895,WindowTransformer,all,0.33356654624609894,0.00036154868651658913,128,0.9985083243033539,0.00012407199350886351,0.018276858580113263,0.0008314392776985204,0.38168457031249997,0.016046832675006433
large_objects,2.995236308313906,0.0007120964319492841,DeformableTransformer,all,0.33291312113093835,0.0006216481691713494,128,0.9985511809742699,0.00021712747533443342,0.017599362638350158,0.0013276254298695057,0.24796875000000002,0.021023248546313437
large_objects,2.995236308313906,0.0007120964319492841,LocalConvTransformer,all,0.3333072207945709,0.0005904405047400583,128,0.9985511809742699,0.00021712747533443342,0.017599362638350158,0.0013276254298695057,0.37350341796875,0.015194320787568499
large_objects,2.995236308313906,0.0007120964319492841,WindowTransformer,all,0.3337796392152086,0.0003545106261543332,128,0.9985511809742699,0.00021712747533443342,0.017599362638350158,0.0013276254298695057,0.37852783203125,0.013172151399388255
small_objects,2.995247213480373,0.0003865789796521352,DeformableTransformer,all,0.3330484938730175,0.0005301869431376924,128,0.9985547096002848,0.00011793616153022522,0.018234675947544098,0.0008514148447755513,0.2546525065104167,0.014993609415691896
small_objects,2.995247213480373,0.0003865789796521352,LocalConvTransformer,all,0.3334626260135944,0.00036396658584952435,128,0.9985547096002848,0.00011793616153022522,0.018234675947544098,0.0008514148447755513,0.367431640625,0.010179857754044496
small_objects,2.995247213480373,0.0003865789796521352,WindowTransformer,all,0.33348886284511536,0.00035972075208706944,128,0.9985547096002848,0.00011793616153022522,0.018234675947544098,0.0008514148447755513,0.3779158528645833,0.014729955741434817
sparse,2.995258909650147,0.0006799251799394704,DeformableTransformer,all,0.33310640409278375,0.0005189712236934181,128,0.9985579930556318,0.00020736194674012023,0.01772483059795131,0.001271001597646762,0.25441650390625004,0.022635950475684664
sparse,2.995258909650147,0.0006799251799394704,LocalConvTransformer,all,0.33311699707216275,0.0004879375680313176,128,0.9985579930556318,0.00020736194674012023,0.01772483059795131,0.001271001597646762,0.36911702473958335,0.015305598999576009
sparse,2.995258909650147,0.0006799251799394704,WindowTransformer,all,0.33377658032501734,0.00036334986357060517,128,0.9985579930556318,0.00020736194674012023,0.01772483059795131,0.001271001597646762,0.37646647135416667,0.01446576040887445
