alpha,analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison_design,comparison_valid,domain_a,domain_b,effect_size_type,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_clusters_a,n_clusters_b,n_images_a,n_images_b,n_paired_clusters,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,sequence_cluster,6.282372978980048e-05,-4.462320283990173e-05,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,all_experts,0.946123275344931,0.08479644743037767,,0.9985351566215398,0.9985464302259375,1.1273604397676884e-05,normalized_entropy,21,21,36,44,128,128,21,0,0.6854629074185163,0.0,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.36924814677028217,0.36976108921421424,0.000512942443932074,top1_share,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.33329020140879007,0.3335970554383088,0.00030685402951874385,mean_probability,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3759358488572898,0.37960539557414563,0.0036695467168558205,top1_share,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3337989086722908,0.3335156879805579,-0.0002832206917328661,mean_probability,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.254816004372428,0.2506335152116401,-0.0041824891607878945,top1_share,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.33291087150054854,0.3328872406062276,-2.3630894320947338e-05,mean_probability,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,large_objects,irregular_occluded,,all_experts,nan,nan,shared_samples_require_distinct_images,0.9985636451628438,0.9985244654079597,-3.917975488409997e-05,normalized_entropy,36,37,36,37,128,128,0,5,nan,0.0390625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.368375611750382,0.36976108921421424,0.0013854774638322187,top1_share,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.3334599143385858,0.3335970554383088,0.00013714109972301491,mean_probability,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.37754129596914526,0.37960539557414563,0.002064099605000369,top1_share,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3335281747174887,0.3335156879805579,-1.2486736930772402e-05,mean_probability,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.25408309228047277,0.2506335152116401,-0.0034495770688326433,top1_share,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.33301189417902827,0.3328872406062276,-0.00012465357280067035,mean_probability,44,37,44,37,128,128,0,48,nan,0.375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,small_objects,irregular_occluded,,all_experts,nan,nan,shared_samples_require_distinct_images,0.9985441491091602,0.9985244654079597,-1.9683701200534642e-05,normalized_entropy,44,37,44,37,128,128,0,48,nan,0.375,False
