idx,h_norm,q_max
536,0.934573,0.363439
537,0.800710,0.497418
538,0.903987,0.395441
539,0.497301,0.793361
540,0.446747,0.826506
541,0.762282,0.566513
542,0.711060,0.671297
543,0.943743,0.349064
544,0.217458,0.933616
545,0.351860,0.868803
546,0.604551,0.698620
547,0.432998,0.842838
548,0.529893,0.737577
549,0.613084,0.737545
550,0.364505,0.876765
551,0.831565,0.491784
552,0.986377,0.302767
553,1.000000,0.250000
554,0.489237,0.794195
555,0.863466,0.478904
556,0.739009,0.615471
557,0.730514,0.623574
558,0.718497,0.594553
559,0.663772,0.682657
560,0.422903,0.849413
561,0.962864,0.351703
562,0.236984,0.924127
563,0.921808,0.465184
564,0.509703,0.788164
565,0.492889,0.785240
566,0.362252,0.876148
567,0.794594,0.568328
568,0.752230,0.607868
569,0.279527,0.910094
570,0.372350,0.855138
571,0.639600,0.539849
572,0.796474,0.565817
573,0.948925,0.354584
574,0.579258,0.683775
575,0.898694,0.488059
576,0.830327,0.553612
577,0.279982,0.907602
578,0.579368,0.721717
579,0.617359,0.693252
580,0.546607,0.761907
581,0.784752,0.603941
582,0.769675,0.626258
583,0.745153,0.631837
584,0.198122,0.943994
585,0.535416,0.725499
586,0.822231,0.477202
587,0.772856,0.560792
588,0.479658,0.804586
589,0.789473,0.565079
590,0.850934,0.490506
591,0.631214,0.712939
592,0.776893,0.568835
593,0.090528,0.978115
594,0.252665,0.924191
595,0.241599,0.926887
596,0.765113,0.475372
597,0.121648,0.966920
598,0.848462,0.427404
599,0.906473,0.375037
600,0.946448,0.352099
601,0.811645,0.481870
602,0.905838,0.371675
603,0.519377,0.777146
604,0.465092,0.821785
605,0.753702,0.599252
606,0.591809,0.706630
607,0.932730,0.350195
608,0.195648,0.942245
609,0.361272,0.863418
610,0.606367,0.693255
611,0.425097,0.845840
612,0.695260,0.513242
613,0.745538,0.608045
614,0.460222,0.829974
615,0.861182,0.441180
616,0.985247,0.321516
617,0.549836,0.768582
618,0.523466,0.702549
619,0.871836,0.463466
620,0.812794,0.515853
621,0.549954,0.720252
622,0.715394,0.603719
623,0.700151,0.672392
624,0.432974,0.844791
625,0.973415,0.315016
626,0.170394,0.950935
627,0.934214,0.443975
628,0.483113,0.804931
629,0.356673,0.862363
630,0.323871,0.893760
631,0.830728,0.512721
632,0.760677,0.601612
633,0.288433,0.907304
634,0.368635,0.860000
635,0.643777,0.556064
636,0.835141,0.503757
637,0.928926,0.404691
638,0.528338,0.726312
639,0.891826,0.369516
640,0.510206,0.802745
641,0.897302,0.430331
642,0.565300,0.767535
643,0.604692,0.719904
644,0.180119,0.949238
645,0.355276,0.873196
646,0.967688,0.374412
647,0.836555,0.552559
648,0.496017,0.805903
649,0.815905,0.544038
650,0.887056,0.483499
651,0.747114,0.493876
652,0.668621,0.504824
653,0.700278,0.619658
654,0.887055,0.407092
655,0.817869,0.573060
656,0.523723,0.663138
657,0.755120,0.616807
658,0.897209,0.442730
659,0.766005,0.482131
660,0.592050,0.632728
661,0.716757,0.561481
662,0.791522,0.544303
663,0.587447,0.696477
664,0.856702,0.505574
665,0.502360,0.742219
666,0.614574,0.742988
667,0.485210,0.811058
668,0.965438,0.354435
669,0.833016,0.537447
670,0.689990,0.637152
671,0.893543,0.464309
672,0.553938,0.634608
673,0.680206,0.675316
674,0.624692,0.710054
675,0.301587,0.898340
676,0.348083,0.884347
677,0.270863,0.913644
678,0.645700,0.522390
679,0.719137,0.665738
680,0.477372,0.819747
681,0.919313,0.390381
682,0.968389,0.326927
683,0.713196,0.496062
684,0.445581,0.784596
685,0.453676,0.832905
686,0.808164,0.554806
687,0.824349,0.498699
688,0.524346,0.745336
689,0.213122,0.939111
690,0.870574,0.420015
691,0.815422,0.574310
692,0.944262,0.343032
693,0.901392,0.483989
694,0.428639,0.833562
695,0.823918,0.555332
696,0.395117,0.833512
697,0.697286,0.684791
698,0.797892,0.513512
699,0.549958,0.744698
700,0.429156,0.831301
701,0.697962,0.645958
702,0.754272,0.570300
703,0.511672,0.794297
704,0.890876,0.442325
705,0.927087,0.406404
706,0.870549,0.442529
707,0.770871,0.513965
708,0.713797,0.649442
709,0.884212,0.462884
710,0.872201,0.478722
711,0.682542,0.630516
712,0.916401,0.401327
713,0.770850,0.461248
714,0.584381,0.713133
715,0.636732,0.689408
716,0.731754,0.606994
717,0.484973,0.799450
718,0.914290,0.461791
719,0.839252,0.514706
720,0.876400,0.404701
721,0.832893,0.437937
722,0.866290,0.497190
723,0.397127,0.858798
724,0.835136,0.556668
725,0.589419,0.692976
726,0.833826,0.555156
727,0.842832,0.443498
728,0.878175,0.473716
729,0.955200,0.353596
730,0.670166,0.619289
731,0.839015,0.492519
732,0.827535,0.444961
733,0.885887,0.398312
734,0.512929,0.746165
735,0.804220,0.503049
736,0.731932,0.586795
737,0.902260,0.390216
738,0.660125,0.666952
739,0.748259,0.562940
740,0.917404,0.365733
741,0.841611,0.470129
742,0.589430,0.722182
743,0.906259,0.348757
744,0.839801,0.490496
745,0.899941,0.368419
746,0.648267,0.661430
747,0.745725,0.558641
748,0.891142,0.436509
749,0.791511,0.519722
750,0.846795,0.407406
751,0.807360,0.509335
752,0.378005,0.854930
753,0.869277,0.464858
754,0.632257,0.609697
755,0.857818,0.405284
756,0.560346,0.760669
757,0.856065,0.414436
758,0.828241,0.492327
759,0.508469,0.746040
760,0.954520,0.347769
761,0.819095,0.519562
762,0.709293,0.663195
763,0.860321,0.433990
764,0.596338,0.707769
765,0.833467,0.477454
766,0.918995,0.388782
767,0.780815,0.517895
